Case ID,Activity,Timestamp,Lifecycle,Resource
1,process,2026-01-01T00:08:13.356Z,start,system
1,charge,2026-01-01T00:08:13.356Z,enable,system
1,soap,2026-01-01T00:08:13.356Z,enable,system
1,charge,2026-01-01T00:08:13.356Z,begin,cashier
1,soap,2026-01-01T00:08:13.356Z,begin,attendant-0
1,charge,2026-01-01T00:10:29.458Z,terminate,cashier
1,soap,2026-01-01T00:28:37.659Z,terminate,attendant-0
1,rinse,2026-01-01T00:28:37.659Z,begin,attendant-0
1,rinse,2026-01-01T00:36:22.999Z,terminate,attendant-0
1,dry,2026-01-01T00:36:22.999Z,begin,attendant-0
1,dry,2026-01-01T01:01:01.265Z,terminate,attendant-0
1,process,2026-01-01T01:01:01.265Z,end,system
2,process,2026-01-01T01:07:49.269Z,start,system
2,charge,2026-01-01T01:07:49.269Z,enable,system
2,soap,2026-01-01T01:07:49.269Z,enable,system
2,charge,2026-01-01T01:07:49.269Z,begin,cashier
2,soap,2026-01-01T01:07:49.269Z,begin,attendant-1
2,charge,2026-01-01T01:10:43.360Z,terminate,cashier
3,process,2026-01-01T01:28:54.163Z,start,system
3,charge,2026-01-01T01:28:54.163Z,enable,system
3,soap,2026-01-01T01:28:54.163Z,enable,system
3,charge,2026-01-01T01:28:54.163Z,begin,cashier
3,soap,2026-01-01T01:28:54.163Z,begin,attendant-2
4,process,2026-01-01T01:28:58.866Z,start,system
4,charge,2026-01-01T01:28:58.866Z,enable,system
4,soap,2026-01-01T01:28:58.866Z,enable,system
4,soap,2026-01-01T01:28:58.866Z,begin,attendant-0
3,charge,2026-01-01T01:30:49.269Z,terminate,cashier
4,charge,2026-01-01T01:30:49.269Z,begin,cashier
4,charge,2026-01-01T01:32:30.198Z,terminate,cashier
2,soap,2026-01-01T01:35:26.013Z,terminate,attendant-1
2,rinse,2026-01-01T01:35:26.013Z,begin,attendant-1
5,process,2026-01-01T01:41:48.627Z,start,system
5,charge,2026-01-01T01:41:48.627Z,enable,system
5,soap,2026-01-01T01:41:48.627Z,enable,system
5,charge,2026-01-01T01:41:48.627Z,begin,cashier
2,rinse,2026-01-01T01:43:15.930Z,terminate,attendant-1
2,dry,2026-01-01T01:43:15.930Z,begin,attendant-1
5,charge,2026-01-01T01:44:20.094Z,terminate,cashier
4,soap,2026-01-01T01:48:50.575Z,terminate,attendant-0
4,rinse,2026-01-01T01:48:50.575Z,begin,attendant-0
3,soap,2026-01-01T01:53:24.395Z,terminate,attendant-2
3,rinse,2026-01-01T01:53:24.395Z,begin,attendant-2
6,process,2026-01-01T01:56:06.199Z,start,system
6,charge,2026-01-01T01:56:06.199Z,enable,system
6,soap,2026-01-01T01:56:06.199Z,enable,system
6,charge,2026-01-01T01:56:06.199Z,begin,cashier
4,rinse,2026-01-01T01:56:18.101Z,terminate,attendant-0
4,dry,2026-01-01T01:56:18.101Z,begin,attendant-0
6,charge,2026-01-01T01:57:46.357Z,terminate,cashier
3,rinse,2026-01-01T02:00:02.994Z,terminate,attendant-2
3,dry,2026-01-01T02:00:02.994Z,begin,attendant-2
2,dry,2026-01-01T02:04:23.016Z,terminate,attendant-1
2,process,2026-01-01T02:04:23.016Z,end,system
5,soap,2026-01-01T02:04:23.016Z,begin,attendant-1
7,process,2026-01-01T02:10:00.036Z,start,system
7,charge,2026-01-01T02:10:00.036Z,enable,system
7,soap,2026-01-01T02:10:00.036Z,enable,system
7,charge,2026-01-01T02:10:00.036Z,begin,cashier
7,charge,2026-01-01T02:12:25.800Z,terminate,cashier
3,dry,2026-01-01T02:18:55.365Z,terminate,attendant-2
3,process,2026-01-01T02:18:55.365Z,end,system
6,soap,2026-01-01T02:18:55.365Z,begin,attendant-2
4,dry,2026-01-01T02:22:14.007Z,terminate,attendant-0
4,vacuum,2026-01-01T02:22:14.007Z,begin,attendant-0
5,soap,2026-01-01T02:25:57.085Z,terminate,attendant-1
5,rinse,2026-01-01T02:25:57.085Z,begin,attendant-1
5,rinse,2026-01-01T02:33:28.707Z,terminate,attendant-1
5,dry,2026-01-01T02:33:28.707Z,begin,attendant-1
4,vacuum,2026-01-01T02:33:57.147Z,terminate,attendant-0
4,process,2026-01-01T02:33:57.147Z,end,system
7,soap,2026-01-01T02:33:57.147Z,begin,attendant-0
6,soap,2026-01-01T02:39:14.233Z,terminate,attendant-2
6,rinse,2026-01-01T02:39:14.233Z,begin,attendant-2
8,process,2026-01-01T02:40:50.502Z,start,system
8,charge,2026-01-01T02:40:50.502Z,enable,system
8,soap,2026-01-01T02:40:50.502Z,enable,system
8,charge,2026-01-01T02:40:50.502Z,begin,cashier
8,charge,2026-01-01T02:41:44.854Z,terminate,cashier
6,rinse,2026-01-01T02:45:34.985Z,terminate,attendant-2
6,dry,2026-01-01T02:45:34.985Z,begin,attendant-2
7,soap,2026-01-01T02:51:57.437Z,terminate,attendant-0
7,rinse,2026-01-01T02:51:57.437Z,begin,attendant-0
7,rinse,2026-01-01T02:58:33.969Z,terminate,attendant-0
7,dry,2026-01-01T02:58:33.969Z,begin,attendant-0
9,process,2026-01-01T03:00:31.690Z,start,system
9,charge,2026-01-01T03:00:31.690Z,enable,system
9,soap,2026-01-01T03:00:31.690Z,enable,system
9,charge,2026-01-01T03:00:31.690Z,begin,cashier
9,charge,2026-01-01T03:02:02.948Z,terminate,cashier
5,dry,2026-01-01T03:05:07.338Z,terminate,attendant-1
5,vacuum,2026-01-01T03:05:07.338Z,begin,attendant-1
6,dry,2026-01-01T03:06:34.604Z,terminate,attendant-2
6,process,2026-01-01T03:06:34.604Z,end,system
8,soap,2026-01-01T03:06:34.604Z,begin,attendant-2
7,dry,2026-01-01T03:27:00.136Z,terminate,attendant-0
7,process,2026-01-01T03:27:00.136Z,end,system
9,soap,2026-01-01T03:27:00.136Z,begin,attendant-0
5,vacuum,2026-01-01T03:28:00.065Z,terminate,attendant-1
5,process,2026-01-01T03:28:00.065Z,end,system
8,soap,2026-01-01T03:31:30.396Z,terminate,attendant-2
8,rinse,2026-01-01T03:31:30.396Z,begin,attendant-2
8,rinse,2026-01-01T03:39:23.747Z,terminate,attendant-2
8,dry,2026-01-01T03:39:23.747Z,begin,attendant-2
9,soap,2026-01-01T03:49:23.319Z,terminate,attendant-0
9,rinse,2026-01-01T03:49:23.319Z,begin,attendant-0
10,process,2026-01-01T03:50:41.958Z,start,system
10,charge,2026-01-01T03:50:41.958Z,enable,system
10,soap,2026-01-01T03:50:41.958Z,enable,system
10,charge,2026-01-01T03:50:41.958Z,begin,cashier
10,soap,2026-01-01T03:50:41.958Z,begin,attendant-1
10,charge,2026-01-01T03:54:13.038Z,terminate,cashier
9,rinse,2026-01-01T03:57:54.229Z,terminate,attendant-0
9,dry,2026-01-01T03:57:54.229Z,begin,attendant-0
8,dry,2026-01-01T04:00:34.025Z,terminate,attendant-2
8,process,2026-01-01T04:00:34.025Z,end,system
10,soap,2026-01-01T04:09:40.761Z,terminate,attendant-1
10,rinse,2026-01-01T04:09:40.761Z,begin,attendant-1
10,rinse,2026-01-01T04:17:33.981Z,terminate,attendant-1
10,dry,2026-01-01T04:17:33.981Z,begin,attendant-1
9,dry,2026-01-01T04:20:23.076Z,terminate,attendant-0
9,process,2026-01-01T04:20:23.076Z,end,system
11,process,2026-01-01T04:26:09.427Z,start,system
11,charge,2026-01-01T04:26:09.427Z,enable,system
11,soap,2026-01-01T04:26:09.427Z,enable,system
11,charge,2026-01-01T04:26:09.427Z,begin,cashier
11,soap,2026-01-01T04:26:09.427Z,begin,attendant-2
11,charge,2026-01-01T04:29:25.558Z,terminate,cashier
10,dry,2026-01-01T04:44:04.974Z,terminate,attendant-1
10,process,2026-01-01T04:44:04.974Z,end,system
11,soap,2026-01-01T04:53:04.875Z,terminate,attendant-2
11,rinse,2026-01-01T04:53:04.875Z,begin,attendant-2
11,rinse,2026-01-01T05:00:25.941Z,terminate,attendant-2
11,dry,2026-01-01T05:00:25.941Z,begin,attendant-2
11,dry,2026-01-01T05:20:01.833Z,terminate,attendant-2
11,vacuum,2026-01-01T05:20:01.833Z,begin,attendant-2
12,process,2026-01-01T05:30:01.040Z,start,system
12,charge,2026-01-01T05:30:01.040Z,enable,system
12,soap,2026-01-01T05:30:01.040Z,enable,system
12,charge,2026-01-01T05:30:01.040Z,begin,cashier
12,soap,2026-01-01T05:30:01.040Z,begin,attendant-0
12,charge,2026-01-01T05:30:50.202Z,terminate,cashier
11,vacuum,2026-01-01T05:36:48.837Z,terminate,attendant-2
11,process,2026-01-01T05:36:48.837Z,end,system
13,process,2026-01-01T05:40:44.290Z,start,system
13,charge,2026-01-01T05:40:44.290Z,enable,system
13,soap,2026-01-01T05:40:44.290Z,enable,system
13,charge,2026-01-01T05:40:44.290Z,begin,cashier
13,soap,2026-01-01T05:40:44.290Z,begin,attendant-1
14,process,2026-01-01T05:40:45.460Z,start,system
14,charge,2026-01-01T05:40:45.460Z,enable,system
14,soap,2026-01-01T05:40:45.460Z,enable,system
14,soap,2026-01-01T05:40:45.460Z,begin,attendant-2
13,charge,2026-01-01T05:43:07.311Z,terminate,cashier
14,charge,2026-01-01T05:43:07.311Z,begin,cashier
14,charge,2026-01-01T05:43:42.751Z,terminate,cashier
12,soap,2026-01-01T05:48:18.076Z,terminate,attendant-0
12,rinse,2026-01-01T05:48:18.076Z,begin,attendant-0
12,rinse,2026-01-01T05:53:47.295Z,terminate,attendant-0
12,dry,2026-01-01T05:53:47.295Z,begin,attendant-0
13,soap,2026-01-01T06:02:55.436Z,terminate,attendant-1
13,rinse,2026-01-01T06:02:55.436Z,begin,attendant-1
15,process,2026-01-01T06:02:55.907Z,start,system
15,charge,2026-01-01T06:02:55.907Z,enable,system
15,soap,2026-01-01T06:02:55.907Z,enable,system
15,charge,2026-01-01T06:02:55.907Z,begin,cashier
15,charge,2026-01-01T06:04:50.774Z,terminate,cashier
14,soap,2026-01-01T06:08:05.413Z,terminate,attendant-2
14,rinse,2026-01-01T06:08:05.413Z,begin,attendant-2
13,rinse,2026-01-01T06:11:28.484Z,terminate,attendant-1
13,dry,2026-01-01T06:11:28.484Z,begin,attendant-1
16,process,2026-01-01T06:11:56.434Z,start,system
16,charge,2026-01-01T06:11:56.434Z,enable,system
16,soap,2026-01-01T06:11:56.434Z,enable,system
16,charge,2026-01-01T06:11:56.434Z,begin,cashier
16,charge,2026-01-01T06:13:03.427Z,terminate,cashier
14,rinse,2026-01-01T06:15:11.591Z,terminate,attendant-2
14,dry,2026-01-01T06:15:11.591Z,begin,attendant-2
17,process,2026-01-01T06:18:35.523Z,start,system
17,charge,2026-01-01T06:18:35.523Z,enable,system
17,soap,2026-01-01T06:18:35.523Z,enable,system
17,charge,2026-01-01T06:18:35.523Z,begin,cashier
17,charge,2026-01-01T06:20:48.001Z,terminate,cashier
12,dry,2026-01-01T06:21:14.846Z,terminate,attendant-0
12,vacuum,2026-01-01T06:21:14.846Z,begin,attendant-0
18,process,2026-01-01T06:31:18.573Z,turn away,system
12,vacuum,2026-01-01T06:34:01.015Z,terminate,attendant-0
12,process,2026-01-01T06:34:01.015Z,end,system
15,soap,2026-01-01T06:34:01.015Z,begin,attendant-0
13,dry,2026-01-01T06:38:40.392Z,terminate,attendant-1
13,process,2026-01-01T06:38:40.392Z,end,system
16,soap,2026-01-01T06:38:40.392Z,begin,attendant-1
19,process,2026-01-01T06:46:45.411Z,start,system
19,charge,2026-01-01T06:46:45.411Z,enable,system
19,soap,2026-01-01T06:46:45.411Z,enable,system
19,charge,2026-01-01T06:46:45.411Z,begin,cashier
14,dry,2026-01-01T06:47:34.815Z,terminate,attendant-2
14,process,2026-01-01T06:47:34.815Z,end,system
17,soap,2026-01-01T06:47:34.815Z,begin,attendant-2
19,charge,2026-01-01T06:48:52.175Z,terminate,cashier
20,process,2026-01-01T06:54:06.593Z,start,system
20,charge,2026-01-01T06:54:06.593Z,enable,system
20,soap,2026-01-01T06:54:06.593Z,enable,system
20,charge,2026-01-01T06:54:06.593Z,begin,cashier
20,charge,2026-01-01T06:55:27.695Z,terminate,cashier
