Case ID,Activity,Timestamp,Lifecycle,Resource
1,process,2026-01-01T00:07:32.688Z,start,system
1,charge,2026-01-01T00:07:32.688Z,enable,system
1,soap,2026-01-01T00:07:32.688Z,enable,system
1,charge,2026-01-01T00:07:32.688Z,begin,cashier
1,soap,2026-01-01T00:07:32.688Z,begin,attendant-0
1,charge,2026-01-01T00:08:52.862Z,terminate,cashier
2,process,2026-01-01T00:19:55.756Z,start,system
2,charge,2026-01-01T00:19:55.756Z,enable,system
2,soap,2026-01-01T00:19:55.756Z,enable,system
2,charge,2026-01-01T00:19:55.756Z,begin,cashier
2,soap,2026-01-01T00:19:55.756Z,begin,attendant-1
2,charge,2026-01-01T00:22:21.241Z,terminate,cashier
1,soap,2026-01-01T00:32:11.262Z,terminate,attendant-0
1,rinse,2026-01-01T00:32:11.262Z,begin,attendant-0
3,process,2026-01-01T00:33:52.675Z,start,system
3,charge,2026-01-01T00:33:52.675Z,enable,system
3,soap,2026-01-01T00:33:52.675Z,enable,system
3,charge,2026-01-01T00:33:52.675Z,begin,cashier
3,soap,2026-01-01T00:33:52.675Z,begin,attendant-2
2,soap,2026-01-01T00:35:55.713Z,terminate,attendant-1
2,rinse,2026-01-01T00:35:55.713Z,begin,attendant-1
3,charge,2026-01-01T00:36:58.817Z,terminate,cashier
1,rinse,2026-01-01T00:40:01.364Z,terminate,attendant-0
1,dry,2026-01-01T00:40:01.364Z,begin,attendant-0
2,rinse,2026-01-01T00:44:41.577Z,terminate,attendant-1
2,dry,2026-01-01T00:44:41.577Z,begin,attendant-1
3,soap,2026-01-01T00:53:13.891Z,terminate,attendant-2
3,rinse,2026-01-01T00:53:13.891Z,begin,attendant-2
4,process,2026-01-01T00:54:30.669Z,start,system
4,charge,2026-01-01T00:54:30.669Z,enable,system
4,soap,2026-01-01T00:54:30.669Z,enable,system
4,charge,2026-01-01T00:54:30.669Z,begin,cashier
4,charge,2026-01-01T00:56:31.307Z,terminate,cashier
3,rinse,2026-01-01T00:59:21.160Z,terminate,attendant-2
3,dry,2026-01-01T00:59:21.160Z,begin,attendant-2
1,dry,2026-01-01T01:03:06.025Z,terminate,attendant-0
1,vacuum,2026-01-01T01:03:06.025Z,begin,attendant-0
2,dry,2026-01-01T01:14:59.134Z,terminate,attendant-1
2,process,2026-01-01T01:14:59.134Z,end,system
4,soap,2026-01-01T01:14:59.134Z,begin,attendant-1
5,process,2026-01-01T01:15:44.493Z,start,system
5,charge,2026-01-01T01:15:44.493Z,enable,system
5,soap,2026-01-01T01:15:44.493Z,enable,system
5,charge,2026-01-01T01:15:44.493Z,begin,cashier
5,charge,2026-01-01T01:16:40.339Z,terminate,cashier
1,vacuum,2026-01-01T01:20:31.736Z,terminate,attendant-0
1,process,2026-01-01T01:20:31.736Z,end,system
5,soap,2026-01-01T01:20:31.736Z,begin,attendant-0
6,process,2026-01-01T01:20:36.402Z,start,system
6,charge,2026-01-01T01:20:36.402Z,enable,system
6,soap,2026-01-01T01:20:36.402Z,enable,system
6,charge,2026-01-01T01:20:36.402Z,begin,cashier
6,charge,2026-01-01T01:21:52.264Z,terminate,cashier
3,dry,2026-01-01T01:29:24.722Z,terminate,attendant-2
3,vacuum,2026-01-01T01:29:24.722Z,begin,attendant-2
4,soap,2026-01-01T01:31:30.905Z,terminate,attendant-1
4,rinse,2026-01-01T01:31:30.905Z,begin,attendant-1
4,rinse,2026-01-01T01:37:21.936Z,terminate,attendant-1
4,dry,2026-01-01T01:37:21.936Z,begin,attendant-1
5,soap,2026-01-01T01:39:41.366Z,terminate,attendant-0
5,rinse,2026-01-01T01:39:41.366Z,begin,attendant-0
3,vacuum,2026-01-01T01:46:44.855Z,terminate,attendant-2
3,process,2026-01-01T01:46:44.855Z,end,system
6,soap,2026-01-01T01:46:44.855Z,begin,attendant-2
5,rinse,2026-01-01T01:46:59.032Z,terminate,attendant-0
5,dry,2026-01-01T01:46:59.032Z,begin,attendant-0
7,process,2026-01-01T01:52:34.480Z,start,system
7,charge,2026-01-01T01:52:34.480Z,enable,system
7,soap,2026-01-01T01:52:34.480Z,enable,system
7,charge,2026-01-01T01:52:34.480Z,begin,cashier
7,charge,2026-01-01T01:54:05.118Z,terminate,cashier
4,dry,2026-01-01T01:57:35.880Z,terminate,attendant-1
4,vacuum,2026-01-01T01:57:35.880Z,begin,attendant-1
6,soap,2026-01-01T02:04:12.061Z,terminate,attendant-2
6,rinse,2026-01-01T02:04:12.061Z,begin,attendant-2
5,dry,2026-01-01T02:09:32.660Z,terminate,attendant-0
5,process,2026-01-01T02:09:32.660Z,end,system
7,soap,2026-01-01T02:09:32.660Z,begin,attendant-0
4,vacuum,2026-01-01T02:12:10.703Z,terminate,attendant-1
4,process,2026-01-01T02:12:10.703Z,end,system
6,rinse,2026-01-01T02:12:33.649Z,terminate,attendant-2
6,dry,2026-01-01T02:12:33.649Z,begin,attendant-2
7,soap,2026-01-01T02:32:21.177Z,terminate,attendant-0
7,rinse,2026-01-01T02:32:21.177Z,begin,attendant-0
8,process,2026-01-01T02:33:14.223Z,start,system
8,charge,2026-01-01T02:33:14.223Z,enable,system
8,soap,2026-01-01T02:33:14.223Z,enable,system
8,charge,2026-01-01T02:33:14.223Z,begin,cashier
8,soap,2026-01-01T02:33:14.223Z,begin,attendant-1
8,charge,2026-01-01T02:34:36.397Z,terminate,cashier
7,rinse,2026-01-01T02:40:54.023Z,terminate,attendant-0
7,dry,2026-01-01T02:40:54.023Z,begin,attendant-0
6,dry,2026-01-01T02:41:18.973Z,terminate,attendant-2
6,process,2026-01-01T02:41:18.973Z,end,system
8,soap,2026-01-01T02:52:39.165Z,terminate,attendant-1
8,rinse,2026-01-01T02:52:39.165Z,begin,attendant-1
8,rinse,2026-01-01T03:00:05.427Z,terminate,attendant-1
8,dry,2026-01-01T03:00:05.427Z,begin,attendant-1
7,dry,2026-01-01T03:11:13.877Z,terminate,attendant-0
7,process,2026-01-01T03:11:13.877Z,end,system
8,dry,2026-01-01T03:26:54.371Z,terminate,attendant-1
8,vacuum,2026-01-01T03:26:54.371Z,begin,attendant-1
8,vacuum,2026-01-01T03:34:26.677Z,terminate,attendant-1
8,process,2026-01-01T03:34:26.677Z,end,system
9,process,2026-01-01T03:43:25.297Z,start,system
9,charge,2026-01-01T03:43:25.297Z,enable,system
9,soap,2026-01-01T03:43:25.297Z,enable,system
9,charge,2026-01-01T03:43:25.297Z,begin,cashier
9,soap,2026-01-01T03:43:25.297Z,begin,attendant-2
9,charge,2026-01-01T03:44:54.018Z,terminate,cashier
9,soap,2026-01-01T03:59:29.593Z,terminate,attendant-2
9,rinse,2026-01-01T03:59:29.593Z,begin,attendant-2
10,process,2026-01-01T04:02:47.860Z,start,system
10,charge,2026-01-01T04:02:47.860Z,enable,system
10,soap,2026-01-01T04:02:47.860Z,enable,system
10,charge,2026-01-01T04:02:47.860Z,begin,cashier
10,soap,2026-01-01T04:02:47.860Z,begin,attendant-0
10,charge,2026-01-01T04:05:46.262Z,terminate,cashier
9,rinse,2026-01-01T04:07:05.866Z,terminate,attendant-2
9,dry,2026-01-01T04:07:05.866Z,begin,attendant-2
10,soap,2026-01-01T04:26:32.849Z,terminate,attendant-0
10,rinse,2026-01-01T04:26:32.849Z,begin,attendant-0
11,process,2026-01-01T04:29:58.026Z,start,system
11,charge,2026-01-01T04:29:58.026Z,enable,system
11,soap,2026-01-01T04:29:58.026Z,enable,system
11,charge,2026-01-01T04:29:58.026Z,begin,cashier
11,soap,2026-01-01T04:29:58.026Z,begin,attendant-1
12,process,2026-01-01T04:30:02.208Z,start,system
12,charge,2026-01-01T04:30:02.208Z,enable,system
12,soap,2026-01-01T04:30:02.208Z,enable,system
11,charge,2026-01-01T04:30:57.415Z,terminate,cashier
12,charge,2026-01-01T04:30:57.415Z,begin,cashier
12,charge,2026-01-01T04:32:42.461Z,terminate,cashier
10,rinse,2026-01-01T04:33:46.118Z,terminate,attendant-0
10,dry,2026-01-01T04:33:46.118Z,begin,attendant-0
9,dry,2026-01-01T04:34:17.859Z,terminate,attendant-2
9,process,2026-01-01T04:34:17.859Z,end,system
12,soap,2026-01-01T04:34:17.859Z,begin,attendant-2
11,soap,2026-01-01T04:52:05.178Z,terminate,attendant-1
11,rinse,2026-01-01T04:52:05.178Z,begin,attendant-1
12,soap,2026-01-01T04:55:53.343Z,terminate,attendant-2
12,rinse,2026-01-01T04:55:53.343Z,begin,attendant-2
11,rinse,2026-01-01T04:58:18.758Z,terminate,attendant-1
11,dry,2026-01-01T04:58:18.758Z,begin,attendant-1
12,rinse,2026-01-01T05:02:50.731Z,terminate,attendant-2
12,dry,2026-01-01T05:02:50.731Z,begin,attendant-2
10,dry,2026-01-01T05:05:03.071Z,terminate,attendant-0
10,process,2026-01-01T05:05:03.071Z,end,system
13,process,2026-01-01T05:16:07.326Z,start,system
13,charge,2026-01-01T05:16:07.326Z,enable,system
13,soap,2026-01-01T05:16:07.326Z,enable,system
13,charge,2026-01-01T05:16:07.326Z,begin,cashier
13,soap,2026-01-01T05:16:07.326Z,begin,attendant-0
13,charge,2026-01-01T05:18:02.472Z,terminate,cashier
12,dry,2026-01-01T05:19:49.459Z,terminate,attendant-2
12,process,2026-01-01T05:19:49.459Z,end,system
11,dry,2026-01-01T05:23:41.952Z,terminate,attendant-1
11,process,2026-01-01T05:23:41.952Z,end,system
13,soap,2026-01-01T05:36:00.540Z,terminate,attendant-0
13,rinse,2026-01-01T05:36:00.540Z,begin,attendant-0
13,rinse,2026-01-01T05:44:55.493Z,terminate,attendant-0
13,dry,2026-01-01T05:44:55.493Z,begin,attendant-0
13,dry,2026-01-01T06:04:38.901Z,terminate,attendant-0
13,vacuum,2026-01-01T06:04:38.901Z,begin,attendant-0
14,process,2026-01-01T06:23:10.720Z,start,system
14,charge,2026-01-01T06:23:10.720Z,enable,system
14,soap,2026-01-01T06:23:10.720Z,enable,system
14,charge,2026-01-01T06:23:10.720Z,begin,cashier
14,soap,2026-01-01T06:23:10.720Z,begin,attendant-2
14,charge,2026-01-01T06:24:28.318Z,terminate,cashier
13,vacuum,2026-01-01T06:30:52.924Z,terminate,attendant-0
13,process,2026-01-01T06:30:52.924Z,end,system
14,soap,2026-01-01T06:41:13.520Z,terminate,attendant-2
14,rinse,2026-01-01T06:41:13.520Z,begin,attendant-2
14,rinse,2026-01-01T06:49:57.353Z,terminate,attendant-2
14,dry,2026-01-01T06:49:57.353Z,begin,attendant-2
15,process,2026-01-01T07:04:24.974Z,start,system
15,charge,2026-01-01T07:04:24.974Z,enable,system
15,soap,2026-01-01T07:04:24.974Z,enable,system
15,charge,2026-01-01T07:04:24.974Z,begin,cashier
15,soap,2026-01-01T07:04:24.974Z,begin,attendant-1
16,process,2026-01-01T07:05:18.759Z,start,system
16,charge,2026-01-01T07:05:18.759Z,enable,system
16,soap,2026-01-01T07:05:18.759Z,enable,system
16,soap,2026-01-01T07:05:18.759Z,begin,attendant-0
15,charge,2026-01-01T07:05:39.895Z,terminate,cashier
16,charge,2026-01-01T07:05:39.895Z,begin,cashier
16,charge,2026-01-01T07:07:26.786Z,terminate,cashier
14,dry,2026-01-01T07:08:43Z,terminate,attendant-2
14,process,2026-01-01T07:08:43Z,end,system
17,process,2026-01-01T07:10:11.966Z,start,system
17,charge,2026-01-01T07:10:11.966Z,enable,system
17,soap,2026-01-01T07:10:11.966Z,enable,system
17,charge,2026-01-01T07:10:11.966Z,begin,cashier
17,soap,2026-01-01T07:10:11.966Z,begin,attendant-2
17,charge,2026-01-01T07:11:38.525Z,terminate,cashier
18,process,2026-01-01T07:18:49.913Z,start,system
18,charge,2026-01-01T07:18:49.913Z,enable,system
18,soap,2026-01-01T07:18:49.913Z,enable,system
18,charge,2026-01-01T07:18:49.913Z,begin,cashier
19,process,2026-01-01T07:20:07.477Z,start,system
19,charge,2026-01-01T07:20:07.477Z,enable,system
19,soap,2026-01-01T07:20:07.477Z,enable,system
