model,replication,cycle_time_mean,cycle_time_std,waiting_time_mean,waiting_time_std,turn_away_probability,attendant_utilization_mean,cashier_utilization
infinite,1,88.5721,36.9069,28.4213,35.1821,0.0,81.2755,8.3137
infinite,2,86.2173,38.4002,26.3023,36.6566,0.0,79.766,8.0407
infinite,3,84.8556,35.1761,25.215,33.2958,0.0,80.593,8.2077
infinite,4,106.1013,59.3317,45.4342,58.0379,0.0,83.4195,8.5554
infinite,5,105.9393,56.3026,45.8759,54.8908,0.0,84.1182,8.4963
infinite,6,91.9879,42.8692,32.0273,41.4431,0.0,80.2111,8.2134
infinite,7,126.9657,90.0247,66.6651,89.1408,0.0,84.0926,8.5669
infinite,8,81.4848,31.6851,21.7108,29.711,0.0,79.0245,8.1361
infinite,9,86.5109,36.9498,27.2945,35.5191,0.0,80.0143,8.2398
infinite,10,97.4038,49.0567,37.5629,47.891,0.0,80.974,8.3971
infinite,11,94.611,49.7487,34.8991,48.3471,0.0,82.9897,8.5432
infinite,12,118.1848,69.8364,58.1453,68.8325,0.0,87.1731,8.8312
infinite,13,107.2145,63.3204,47.0709,61.9836,0.0,86.0472,8.775
infinite,14,92.0449,41.6206,31.9132,40.1064,0.0,82.0396,8.3623
infinite,15,93.6747,45.1096,33.3699,43.9354,0.0,80.7916,8.2144
infinite,16,100.4274,46.2542,40.2906,45.1587,0.0,82.5281,8.4535
infinite,17,93.8697,43.2798,34.2392,41.6852,0.0,82.4049,8.4967
infinite,18,98.7407,51.7775,38.7216,50.4864,0.0,79.361,8.17
infinite,19,89.7447,42.1789,29.657,40.5515,0.0,82.245,8.3523
infinite,20,93.6352,45.088,33.3465,43.3612,0.0,80.2859,8.382
infinite,21,91.4391,39.3814,31.3415,37.6499,0.0,83.1898,8.5719
infinite,22,99.0203,58.6321,39.0156,57.3841,0.0,81.1183,8.37
infinite,23,117.3077,78.4924,57.1027,77.4229,0.0,81.7125,8.315
infinite,24,94.3755,49.2411,34.2349,47.9506,0.0,79.1873,8.0163
infinite,25,91.3394,40.3007,31.3339,38.6623,0.0,82.0548,8.3925
infinite,26,92.0821,43.8249,32.1627,42.0894,0.0,81.2517,8.4226
infinite,27,93.1796,47.1035,33.0152,45.6045,0.0,80.8096,8.2437
infinite,28,91.8188,45.2483,32.0227,43.4614,0.0,80.464,8.287
infinite,29,94.9915,46.9653,35.0876,45.4146,0.0,80.6129,8.22
infinite,30,94.3115,42.8891,33.9608,41.1302,0.0,83.2256,8.4189
finite,1,74.2664,20.591,14.4357,17.6493,5.6,79.0622,8.0126
finite,2,72.602,19.9005,13.3296,17.2155,5.3,77.249,8.0417
finite,3,73.8605,20.3422,13.9816,17.5156,6.2,77.7794,7.8871
finite,4,73.6744,21.0543,13.8553,17.7062,6.3,76.537,7.9266
finite,5,74.5866,20.8004,14.5991,18.0522,5.95,77.3948,7.8988
finite,6,71.246,19.8776,11.7346,16.7287,5.05,73.8837,7.7128
finite,7,72.7339,19.8769,13.0213,17.0941,5.45,76.0937,7.7898
finite,8,73.3049,20.7812,13.4366,17.7271,6.4,75.1871,7.6555
finite,9,74.5405,21.393,14.3907,18.4926,6.95,74.7629,7.6833
finite,10,74.3719,21.1497,14.2088,17.787,6.2,78.9782,8.0735
finite,11,74.4439,21.1468,14.7154,18.2236,6.85,78.1916,8.0118
finite,12,73.6756,20.0895,13.8565,17.0857,5.35,77.2897,7.8154
finite,13,72.8949,19.8151,13.315,17.0405,5.2,78.0842,8.1536
finite,14,73.6893,19.9673,13.9311,17.3931,5.75,76.9093,7.9398
finite,15,71.5459,19.6196,11.8131,16.7048,5.15,74.7071,7.4798
finite,16,73.8103,20.1517,13.7292,17.0865,5.2,77.543,8.0093
finite,17,73.7591,20.4668,13.8349,17.5448,5.75,76.851,7.7913
finite,18,73.8167,20.1257,13.6046,17.3893,6.2,76.6387,7.6312
finite,19,73.0657,19.6337,13.3259,17.1417,5.7,75.164,7.6859
finite,20,73.21,20.2981,13.5914,17.5012,5.85,77.1014,7.976
finite,21,76.1548,21.6349,15.9127,18.6953,7.25,79.5115,8.1071
finite,22,72.2179,19.9278,12.7018,17.2606,5.55,75.6446,7.7422
finite,23,73.4715,20.4666,13.6502,17.5596,5.4,74.8408,7.6926
finite,24,72.1108,19.8616,12.3777,16.9507,4.7,75.9763,7.7897
finite,25,73.3999,20.1132,14.0742,17.4718,6.15,77.1589,7.8619
finite,26,73.1613,20.1065,13.3937,17.3243,6.75,77.3448,7.8825
finite,27,73.5934,20.045,13.6352,17.0312,5.15,77.5764,7.8672
finite,28,72.7968,19.9135,12.9259,17.068,5.2,75.4832,7.8135
finite,29,74.0169,20.3694,14.1591,17.7133,6.4,76.9885,7.9455
finite,30,72.6638,19.7763,12.9925,16.8087,5.2,77.3188,7.9311
